"fue","issn","eissn","categoria_id"
"SOUTH AFRICAN JOURNAL OF HIGHER EDUCATION","1011-3487","1753-5913",70
"SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE","1608-9693","2078-6751",268
"SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE","1608-9693","2078-6751",129
"SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS","0258-7203","1996-2126",135
"SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING","2224-7890","2224-7890",86
"SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING","1012-277X","2224-7890",86
"SOUTH AFRICAN JOURNAL OF INFORMATION MANAGEMENT","2078-1865","1560-683X",130
"SOUTH AFRICAN JOURNAL OF INTERNATIONAL AFFAIRS-SAJIA","1022-0461","1938-0275",133
"SOUTH AFRICAN JOURNAL OF LIBRARIES AND INFORMATION SCIENCE","0256-8861","2304-8263",130
"SOUTH AFRICAN JOURNAL OF MARINE SCIENCE-SUID-AFRIKAANSE TYDSKRIF VIR SEEWETENSKAP","0257-7615",NA,149
"SOUTH AFRICAN JOURNAL OF MARINE SCIENCE-SUID-AFRIKAANSE TYDSKRIF VIR SEEWET","0257-7615",NA,149
"SOUTH AFRICAN JOURNAL OF PHILOSOPHY","0258-0136","2073-4867",202
"SOUTH AFRICAN JOURNAL OF PSYCHOLOGY","0081-2463","2078-208X",221
"SOUTH AFRICAN JOURNAL OF PSYCHOLOGY","0081-2463","2078-208X",229
"SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION","0379-9069",NA,247
"SOUTH AFRICAN JOURNAL OF SCIENCE","0038-2353","1996-7489",178
"SOUTH AFRICAN JOURNAL OF SURGERY","0038-2361","2078-5151",256
"SOUTH AFRICAN MUSEUMS ASSOCIATION BULLETIN","0370-8314","0370-8314",125
"SOUTH AFRICAN REVIEW OF SOCIOLOGY","2152-8586","2072-1978",250
"SOUTH AFRICAN STATISTICAL JOURNAL","0038-271X","1996-8450",254
"SA JOURNAL OF HUMAN RESOURCE MANAGEMENT","1683-7584","2071-078X",148
"SA JOURNAL OF INDUSTRIAL PSYCHOLOGY","0258-5200","2071-0763",222
"SA JOURNAL OF RADIOLOGY","1027-202X","2078-6778",235
"SA PHARMACEUTICAL JOURNAL","2221-5875","2220-1017",201
"SAHARA J-JOURNAL OF SOCIAL ASPECTS OF HIV-AIDS","1729-0376","1813-4424",118
"SAHARA J-JOURNAL OF SOCIAL ASPECTS OF HIV-AIDS","1729-0376","1813-4424",233
"SAIEE AFRICA RESEARCH JOURNAL","1991-1696","1991-1696",83
"SAJOG-SOUTH AFRICAN JOURNAL OF OBSTETRICS AND GYNAECOLOGY","0038-2329","2305-8862",187
"SOUTH AFRICAN JOURNAL OF PSYCHIATRY","1608-9685","1608-9685",220
"SAMJ SOUTH AFRICAN MEDICAL JOURNAL","0256-9574","2078-5135",168
"SAMJ SOUTH AFRICAN MEDICAL JOURNAL","0038-2469","2078-5135",168
"SCIENTIFIC RESEARCH AND ESSAYS","1992-2248",NA,178
"SCRIPTURA-INTERNATIONAL JOURNAL OF BIBLE RELIGION AND THEOLOGY IN SOUTHERN AFRICA","0254-1807","2305-445X",238
"SCRUTINY2-ISSUES IN ENGLISH STUDIES IN SOUTHERN AFRICA","1812-5441","1753-5409",140
"IN DIE SKRIFLIG-IN LUCE VERBI","1018-6441","2305-0853",238
"SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES","1607-3614","1727-9461",137
"SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES","1607-3614","1727-9461",134
"SOCIAL DYNAMICS-A JOURNAL OF THE CENTRE FOR AFRICAN STUDIES UNIVERSITY OF CAPE TOWN","0253-3952","1940-7874",18
"SOCIAL DYNAMICS-A JOURNAL OF THE CENTRE FOR AFRICAN STUDIES UNIVERSITY OF C","0253-3952","1940-7874",18
"SOCIAL DYNAMICS-A JOURNAL OF AFRICAN STUDIES","0253-3952","1940-7874",18
"SOCIAL WORK-MAATSKAPLIKE WERK","0037-8054","2312-7198",249
"SOUTHERN AFRICAN BUSINESS REVIEW","1998-8125","1998-8125",135
"SOUTHERN AFRICAN HUMANITIES","1681-5564",NA,125
"SOUTHERN AFRICAN JOURNAL OF ANAESTHESIA AND ANALGESIA","2220-1181","2220-1173",13
"SOUTH AFRICAN JOURNAL OF ART HISTORY","0258-3542","0258-3542",19
