"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"OGIRISI: a New Journal of African Studies","African Studies","1597-474X",NA,NA,"https://www.ajol.info/index.php/og"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/rjikm"
"Research Review of the Institute of African Studies","African Studies","0855-4412","0855-4412",NA,"https://www.ajol.info/index.php/rrias"
"Research Review of the Institute of African Studies","African Studies","0855-4412","0855-4412",NA,"https://www.ajol.info/index.php/rrias"
"Review of Southern African Studies","African Studies","1024-4190","1024-4190",NA,"https://www.ajol.info/index.php/rosas"
"Review of Southern African Studies","African Studies","1024-4190","1024-4190",NA,"https://www.ajol.info/index.php/rosas"
"South African Journal of African Languages","African Studies","2305-1159","2305-1159","0257-2117","https://www.ajol.info/index.php/sajal"
"South African Journal of African Languages","African Studies","2305-1159","2305-1159","0257-2117","https://www.ajol.info/index.php/sajal"
"South African Journal of Cultural History","African Studies","1011-3053","1018-0745",NA,"https://www.ajol.info/index.php/sajch"
"South African Journal of Cultural History","African Studies","1011-3053","1018-0745",NA,"https://www.ajol.info/index.php/sajch"
"Studies in Gender and Development in Africa","African Studies","0855-9449",NA,NA,"https://www.ajol.info/index.php/sigada"
"Studies in Gender and Development in Africa","African Studies","0855-9449",NA,NA,"https://www.ajol.info/index.php/sigada"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/tjsoc"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/colloq"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/udsijd"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/udsijd"
"Uganda Journal","African Studies","0041-574X","0041-574X",NA,"https://www.ajol.info/index.php/uj"
"Uganda Journal","African Studies","0041-574X","0041-574X",NA,"https://www.ajol.info/index.php/uj"
"Zaria Historical Journal","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/zahir"
"African Crop Science Journal","Agriculture & Food Sciences","2072-6589","2072-6589","1021-9730","https://www.ajol.info/index.php/acsj"
"African Crop Science Journal","Agriculture & Food Sciences","2072-6589","2072-6589","1021-9730","https://www.ajol.info/index.php/acsj"
"African Journal of Food and Nutritional Security","Agriculture & Food Sciences","1608-1366",NA,NA,"https://www.ajol.info/index.php/fns"
"African Journal of Food and Nutritional Security","Agriculture & Food Sciences","1608-1366",NA,NA,"https://www.ajol.info/index.php/fns"
"African Journal of Food, Agriculture, Nutrition and Development","Agriculture & Food Sciences","1684-5374","1684-5374","1684-5358","https://www.ajol.info/index.php/ajfand"
"African Journal of Food, Agriculture, Nutrition and Development","Agriculture & Food Sciences","1684-5374","1684-5374","1684-5358","https://www.ajol.info/index.php/ajfand"
"African Journal of Livestock Extension","Agriculture & Food Sciences","1596-4019","1596-4019",NA,"https://www.ajol.info/index.php/ajlex"
"African Journal of Livestock Extension","Agriculture & Food Sciences","1596-4019","1596-4019",NA,"https://www.ajol.info/index.php/ajlex"
"African Journal of Range and Forage Science","Agriculture & Food Sciences","1727-9380",NA,NA,"https://www.ajol.info/index.php/ajrfs"
"African Journal of Range and Forage Science","Agriculture & Food Sciences","1727-9380",NA,NA,"https://www.ajol.info/index.php/ajrfs"
"Agricultural and Food Science Journal of Ghana","Agriculture & Food Sciences","2821-9023","0855-5591",NA,"https://www.ajol.info/index.php/afsjg"
"Agricultural and Food Science Journal of Ghana","Agriculture & Food Sciences","2821-9023","0855-5591",NA,"https://www.ajol.info/index.php/afsjg"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/ageers"
"Agro-Science","Agriculture & Food Sciences","1119-7455",NA,NA,"https://www.ajol.info/index.php/as"
"Agro-Science","Agriculture & Food Sciences","1119-7455",NA,NA,"https://www.ajol.info/index.php/as"
"Agronomie Africaine","Agriculture & Food Sciences","1015-2288","1015-2288","2948-0086","https://www.ajol.info/index.php/aga"
"Agronomie Africaine","Agriculture & Food Sciences","1015-2288","1015-2288","2948-0086","https://www.ajol.info/index.php/aga"
"Agrosearch","Agriculture & Food Sciences","1117-9996","1117-9996","2467-8694","https://www.ajol.info/index.php/agrosh"
"Agrosearch","Agriculture & Food Sciences","1117-9996","1117-9996","2467-8694","https://www.ajol.info/index.php/agrosh"
"Algerian Journal of Biosciences","Agriculture & Food Sciences",NA,"2716-9375","2773-2916","https://www.ajol.info/index.php/aljb"
"Algerian Journal of Biosciences","Agriculture & Food Sciences",NA,"2716-9375","2773-2916","https://www.ajol.info/index.php/aljb"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/altrur"
"Animal Production Research Advances","Agriculture & Food Sciences","0794-4721",NA,NA,"https://www.ajol.info/index.php/apra"
"Animal Production Research Advances","Agriculture & Food Sciences","0794-4721",NA,NA,"https://www.ajol.info/index.php/apra"
"Animal Research International","Agriculture & Food Sciences","1597-3115",NA,NA,"https://www.ajol.info/index.php/ari"
"Animal Research International","Agriculture & Food Sciences","1597-3115",NA,NA,"https://www.ajol.info/index.php/ari"
"Annales des Sciences Agronomiques","Agriculture & Food Sciences","1659-5009",NA,NA,"https://www.ajol.info/index.php/asab"
"Bowen Journal of Agriculture","Agriculture & Food Sciences","1597-2836",NA,NA,"https://www.ajol.info/index.php/bja"
"Bowen Journal of Agriculture","Agriculture & Food Sciences","1597-2836",NA,NA,"https://www.ajol.info/index.php/bja"
"Bulletin of Animal Health and Production in Africa","Agriculture & Food Sciences","0378-9721","0378-9721",NA,"https://www.ajol.info/index.php/bahpa"
"Bulletin of Animal Health and Production in Africa","Agriculture & Food Sciences","0378-9721","0378-9721",NA,"https://www.ajol.info/index.php/bahpa"
"Cameroon Journal of Agricultural Science","Agriculture & Food Sciences","1813-3320","1813-3320",NA,"https://www.ajol.info/index.php/cjas"
"Cameroon Journal of Agricultural Science","Agriculture & Food Sciences","1813-3320","1813-3320",NA,"https://www.ajol.info/index.php/cjas"
"ChemSearch Journal","Agriculture & Food Sciences","2384-6028",NA,NA,"https://www.ajol.info/index.php/csj"
"ChemSearch Journal","Agriculture & Food Sciences","2384-6028",NA,NA,"https://www.ajol.info/index.php/csj"
"East African Agricultural and Forestry Journal","Agriculture & Food Sciences","0012-8325","0012-8325","2313-450X","https://www.ajol.info/index.php/eaafj"
"East African Agricultural and Forestry Journal","Agriculture & Food Sciences","0012-8325","0012-8325","2313-450X","https://www.ajol.info/index.php/eaafj"
"Ethiopian Journal of Agricultural Sciences","Agriculture & Food Sciences","2415-2382","0257-2605","2415-2382","https://www.ajol.info/index.php/ejas"
"Ethiopian Journal of Agricultural Sciences","Agriculture & Food Sciences","2415-2382","0257-2605","2415-2382","https://www.ajol.info/index.php/ejas"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/ejcs"
"Ethiopian Journal of Science and Technology","Agriculture & Food Sciences","2312-6019","1816-3378","2312-6019","https://www.ajol.info/index.php/ejst"
"Ethiopian Journal of Science and Technology","Agriculture & Food Sciences","2312-6019","1816-3378","2312-6019","https://www.ajol.info/index.php/ejst"
"Ghana Journal of Agricultural Science","Agriculture & Food Sciences","0855-0042",NA,NA,"https://www.ajol.info/index.php/gjas"
"Ghana Journal of Agricultural Science","Agriculture & Food Sciences","0855-0042",NA,NA,"https://www.ajol.info/index.php/gjas"
"Ghana Journal of Forestry","Agriculture & Food Sciences","0855-1707","0855-1707",NA,"https://www.ajol.info/index.php/gjf"
"Ghana Journal of Forestry","Agriculture & Food Sciences","0855-1707","0855-1707",NA,"https://www.ajol.info/index.php/gjf"
"Ghanaian Journal of Animal Science","Agriculture & Food Sciences",NA,"0855-7349",NA,"https://www.ajol.info/index.php/gjansci"
"Ghanaian Journal of Animal Science","Agriculture & Food Sciences",NA,"0855-7349",NA,"https://www.ajol.info/index.php/gjansci"
"Global Approaches to Extension Practice: A Journal of Agricultural Extension","Agriculture & Food Sciences","0794-1005",NA,NA,"https://www.ajol.info/index.php/gaep"
"Global Approaches to Extension Practice: A Journal of Agricultural Extension","Agriculture & Food Sciences","0794-1005",NA,NA,"https://www.ajol.info/index.php/gaep"
"Global Journal of Agricultural Sciences","Agriculture & Food Sciences","1596-2903",NA,NA,"https://www.ajol.info/index.php/gjass"
"Global Journal of Agricultural Sciences","Agriculture & Food Sciences","1596-2903",NA,NA,"https://www.ajol.info/index.php/gjass"
"International Journal of Agriculture and Rural Development","Agriculture & Food Sciences","1595-9716",NA,NA,"https://www.ajol.info/index.php/ijard"
"International Journal of Agriculture and Rural Development","Agriculture & Food Sciences","1595-9716",NA,NA,"https://www.ajol.info/index.php/ijard"
"International Journal of Applied Agriculture and Apiculture Research","Agriculture & Food Sciences","0331-5428",NA,NA,"https://www.ajol.info/index.php/ijaaar"
"International Journal of Applied Agriculture and Apiculture Research","Agriculture & Food Sciences","0331-5428",NA,NA,"https://www.ajol.info/index.php/ijaaar"
"International Journal of Tropical Agriculture and Food Systems","Agriculture & Food Sciences","1597-913X",NA,NA,"https://www.ajol.info/index.php/ijotafs"
"International Journal of Tropical Agriculture and Food Systems","Agriculture & Food Sciences","1597-913X",NA,NA,"https://www.ajol.info/index.php/ijotafs"
"Journal of Agricultural Extension","Agriculture & Food Sciences","2408-6851","2408-6851","1119-944X","https://www.ajol.info/index.php/jae"
"Journal of Agricultural Extension","Agriculture & Food Sciences","2408-6851","2408-6851","1119-944X","https://www.ajol.info/index.php/jae"
"Journal of Agricultural Research and Development","Agriculture & Food Sciences","1596-5511",NA,NA,"https://www.ajol.info/index.php/jard"
"Journal of Agricultural Research and Development","Agriculture & Food Sciences","1596-5511",NA,NA,"https://www.ajol.info/index.php/jard"
"Journal of Agriculture and Environment","Agriculture & Food Sciences",NA,"2695-236X",NA,"https://www.ajol.info/index.php/jagrenv"
"Journal of Agriculture and Food Sciences","Agriculture & Food Sciences","1597-1074",NA,NA,"https://www.ajol.info/index.php/jafs"
"Journal of Agriculture and Food Sciences","Agriculture & Food Sciences","1597-1074",NA,NA,"https://www.ajol.info/index.php/jafs"
"Journal of Agriculture and Social Research (JASR)","Agriculture & Food Sciences","1595-7470","1595-7470",NA,"https://www.ajol.info/index.php/jasr"
"Journal of Agriculture and Social Research (JASR)","Agriculture & Food Sciences","1595-7470","1595-7470",NA,"https://www.ajol.info/index.php/jasr"
"Journal of Agriculture, Forestry and the Social Sciences","Agriculture & Food Sciences","1597-0906",NA,NA,"https://www.ajol.info/index.php/joafss"
"Journal of Agriculture, Forestry and the Social Sciences","Agriculture & Food Sciences","1597-0906",NA,NA,"https://www.ajol.info/index.php/joafss"
"Journal of Applied Chemistry and Agricultural Research","Agriculture & Food Sciences","1117-2894",NA,NA,"https://www.ajol.info/index.php/jacar"
"Journal of Applied Chemistry and Agricultural Research","Agriculture & Food Sciences","1117-2894",NA,NA,"https://www.ajol.info/index.php/jacar"
"Journal of Food Stability","Agriculture & Food Sciences",NA,"2664-5513","2663-1741","https://www.ajol.info/index.php/jfs"
"Journal of Food Stability","Agriculture & Food Sciences",NA,"2664-5513","2663-1741","https://www.ajol.info/index.php/jfs"
"Journal of Food Technology in Africa","Agriculture & Food Sciences","1028-6098","1028-6098","2661-9016","https://www.ajol.info/index.php/jfta"
"Journal of Food Technology in Africa","Agriculture & Food Sciences","1028-6098","1028-6098","2661-9016","https://www.ajol.info/index.php/jfta"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/mb"
NA,"Agriculture & Food Sciences",NA,NA,NA,"https://www.ajol.info/index.php/mb"
"Moor Journal of Agricultural Research","Agriculture & Food Sciences","1595-4153",NA,NA,"https://www.ajol.info/index.php/mjar"
"Moor Journal of Agricultural Research","Agriculture & Food Sciences","1595-4153",NA,NA,"https://www.ajol.info/index.php/mjar"
"Nigeria Agricultural Journal","Agriculture & Food Sciences","0300-368X",NA,NA,"https://www.ajol.info/index.php/naj"
"Nigeria Agricultural Journal","Agriculture & Food Sciences","0300-368X",NA,NA,"https://www.ajol.info/index.php/naj"
"Nigerian Food Journal","Agriculture & Food Sciences","0189-7241",NA,NA,"https://www.ajol.info/index.php/nifoj"
"Nigerian Food Journal","Agriculture & Food Sciences","0189-7241",NA,NA,"https://www.ajol.info/index.php/nifoj"
"Nigerian Journal of Animal Production","Agriculture & Food Sciences","0331-2062","0331-2062",NA,"https://www.ajol.info/index.php/njap"
"Nigerian Journal of Animal Production","Agriculture & Food Sciences","0331-2062","0331-2062",NA,"https://www.ajol.info/index.php/njap"
