title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
journal of current issues in nigerian law	2449-0350	NULL	0	0	0	1
niger delta journal of religious studies	2449-044X	NULL	0	0	0	1
journal of environmental sustainability advancement research	2409-966X	NULL	0	0	0	1
journal of gender agriculture and food security	2413-922X	NULL	0	0	0	1
jocmas	2026-5131	NULL	0	0	0	1
alhikmah journal of history and international relations	2465-7336	NULL	0	0	0	1
bayero journal of social sciences and administration	2465-7506	NULL	0	0	0	1
ilorin journal of marketing	2465-7417	NULL	0	0	0	1
journal of education and human development	2465-7468	NULL	0	0	0	1
south african journal of science	1996-7489	NULL	1	0	1	1
international journal of management and scientific research	2458-732X	NULL	0	0	0	1
phytochem biosub journal	2170-1768	NULL	0	0	0	1
advances in scientific research and impact	2476-8367	NULL	0	0	0	1
agricultural and bionutritional research	2476-7913	NULL	0	0	0	1
biosciences research in todays world	2476-7905	NULL	0	0	0	1
funai journal of humanities and social sciences	2476-7883	2476-7891	0	0	0	1
international journal of media security and development	2476-7808	2476-7794	0	0	0	1
journal of environmental toxicology and public health	2476-7948	NULL	0	0	0	1
ethiopian medical journal	2415-2420	0014-1755	0	0	0	1
african journal of farm and agribusiness management	2415-0428	NULL	0	0	0	1
african journal of education and social sciences	2415-0770	NULL	0	0	0	1
south african journal of sports medicine	1015-5163	2078-516X	1	0	0	1
current issues in african tourism research	2518-0363	NULL	0	0	0	1
international academic journal of economics and finance	2518-2366	NULL	0	0	0	1
international academic journal of human resource and business administration	2518-2374	NULL	0	0	0	1
international academic journal of information systems and technology	2518-2390	NULL	0	0	0	1
international academic journal of innovation leadership and entrepreneurship	2518-2382	NULL	0	0	0	1
international academic journal of procurement and supply chain management	2518-2404	NULL	0	0	0	1
international academic journal of social sciences and education	2518-2412	NULL	0	0	0	1
sospoly journal of science and agriculture	2536-7161	NULL	0	0	0	1
umudike journal of engineering and technology	2536-7404	2545-5257	0	0	0	1
arid zone journal of engineering technology and environment	1596-2644	2545-5818	0	0	0	1
agrobiologia	2170-1652	2507-7627	0	0	0	1
journal of nutrition and dietetics	2415-5195	NULL	0	0	0	1
journal of arts and social sciences	2590-4361	NULL	0	0	0	1
academic web journal of agricultural research	2545-4994	NULL	0	0	0	1
cach journal of humanities and cultural studies	2545-5540	NULL	0	0	0	1
international journal of academy of engineering research and theory	2545-5931	NULL	0	0	0	1
international journal of advanced structural and robotic engineering	2545-5656	NULL	0	0	0	1
journal of engineering and applied disciplines	2545-5222	NULL	0	0	0	1
journal of research in science education	2545-5788	NULL	0	0	0	1
lajast engineering science and technology	2545-5583	NULL	0	0	0	1
lajast environmental sciences	2545-5605	NULL	0	0	0	1
lajast humanities and social sciences	2545-5591	NULL	0	0	0	1
preorc journal of arts and humanities	2545-532X	NULL	0	0	0	1
african journal of health information systems	2415-5268	NULL	0	0	0	1
international journal of applied computer sciences	2522-6258	NULL	0	0	0	1
journal of research in open distance and elearning	2522-6134	NULL	0	0	0	1
south african journal of surgery	2078-5151	0038-2361	1	1	1	1
journal of physical science and environmental studies	2467-8716	NULL	0	0	0	1
south african music studies	2223-635X	NULL	1	0	0	1
point journal of medicine and medical science research	2467-8813	NULL	0	0	0	1
south sudan medical journal	2309-4605	2309-4613	1	0	0	1
journal of physical science and environmental safety	2476-8588	NULL	0	0	0	1
life sciences research protocols and methods	2476-793X	NULL	0	0	0	1
molecular biology research and innovations	2476-7956	NULL	0	0	0	1
point journal of humanities and social sciences	2476-8022	NULL	0	0	0	1
point journal of botany and microbiological research	2476-7999	NULL	0	0	0	1
point journal of business and economic management	2476-8014	NULL	0	0	0	1
point journal of educational research and behavioral sciences	2476-8006	NULL	0	0	0	1
trends in industrial biotechnology research	2476-7964	NULL	0	0	0	1
world journal of biomedicine and pharmaceutical sciences	2476-7972	NULL	0	0	0	1
world journal of marine biology research	2476-7980	NULL	0	0	0	1
alternatives rurales	2421-8928	2421-9037	0	0	0	1
south african journal of psychology	0081-2463	2078-208X	0	0	1	0
kulambela	2518-4466	NULL	0	0	0	1
dzimbahwe journal of multidisciplinary research	2518-4334	NULL	0	0	0	1
southern african business review online	1998-8125	NULL	1	0	1	1
business social science journal	2518-4598	2518-4555	0	0	0	1
southern african journal of anaesthesia and analgesia	2220-1181	2220-1173	1	0	1	1
journal of technology and socioeconomic development	2223-9227	2616-9614	0	0	0	1
global health innovation	2617-1155	NULL	0	0	0	1
international journal of irrigation and agricultural development	2616-1508	NULL	0	0	0	1
international journal of financial management and reporting analysis	1694-3139	1694-366X	0	0	0	1
journal of indian ocean rim studies	1694-3317	NULL	0	0	0	1
insaniyat	1111-2050	2253-0738	0	0	0	1
international journal of social and development concerns	2524-1478	NULL	0	0	0	1
southern african journal of environmental education	0256-7504	2411-5959	1	0	0	1
journal of interdisciplinary academic research	2617-2968	2617-2976	0	0	0	1
african journal of psychological assessment	2617-2798	NULL	0	0	0	1
zagazig university medical journal	2357-0717	1110-1431	0	0	0	1
the egyptian journal of medical sciences	NULL	1110-0540	0	0	0	1
south african law journal	NULL	0038-2388	0	1	0	0
southern african journal of hiv medicine	1608-9693	2078-6751	1	1	1	1
southern african humanities	1681-5564	2305-2791	0	1	1	1
south african journal on human rights	0258-7203	1996-2126	0	0	1	0
eubios journal of asian and international bioethics	2350-3106	NULL	0	0	0	1
unisa latin american report	0256-6060	NULL	0	0	0	1
afrika zamani	NULL	NULL	0	0	0	1
southern african linguistics and applied language studies	1607-3614	1727-9461	1	0	1	1
phelsuma	1026-5023	NULL	0	0	0	1
southern forests	2070-2639	2070-2620	1	0	1	1
stellenbosch papers in linguistics	1027-3417	2223-9936	1	0	0	1
mine ventilation society of south africa journal	NULL	0368-3206	0	0	0	1
south african museums association bulletin	NULL	0258-5049	0	0	1	1
south african review of sociology	2152-8586	2072-1978	0	0	1	0
psychopathologie africaine	NULL	0033-314X	0	0	0	1
south african statistical journal	1996-8450	0038-271X	0	0	1	1
aicmar bulletin	1684-1476	NULL	0	0	0	1
arab media society	1687-7721	NULL	0	0	0	1
journal of pain sa	1998-2062	NULL	0	0	0	1
south african veterinary association journal	2224-9435	1019-9128	0	0	1	1
stellenbosch papers in linguistics plus	2224-3380	NULL	1	1	1	0
sudan journal of medical sciences	1858-5051	NULL	1	0	0	0
legon journal of sociology	0855-6261	NULL	0	0	0	1
